name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T,azero,neutral_ion_type,dissrxn,tag,formula_ox
potassium-oxide,K-Ox,K2O,cr,1,,5.May.78,cal,-77056,-86800,22.5,NA,40.38,18.51,8.65,-0.88,0,0,0,0,1100,,,-1.0000 potassium-oxide 2.0000 K+ -2.0000 H+ 1.0000 H2O,,2K+ O-2
prehnite,Prh,Ca2Al2Si3O10(OH)2,cr,HDNB78 [S92],SPRONS92.2,15.Mar.90,cal,-1390097,-1481649,65,NA,140.33,91.6,37.82,-19.6,0,0,0,0,848,,,-1.0000 prehnite -10.0000 H+ 2.0000 Al+3 2.0000 Ca+2 3.0000 SiO2 6.0000 H2O,,2Ca+2 2Al+3 3Si+4 2H+ 12O-2
pyrite,Py,FeS2,cr,HDNB78 [S92],NA,5.May.78,cal,-38293,-41000,12.65,NA,23.94,17.88,1.32,-3.05,0,0,0,0,1000,,,-1.0000 pyrite -1.0000 H2O 0.5000 O2(g) 1.0000 Fe+2 2.0000 HS-,,Fe+2 2S-
pyrophyllite,Prl,Al2Si4O10(OH)2,cr,HDNB78 [S92],NA,5.May.78,cal,-1255997,-1345313,57.2,NA,126.6,79.432,39.214,-17.282,0,0,0,0,800,,,-1.0000 pyrophyllite -6.0000 H+ 2.0000 Al+3 4.0000 H2O 4.0000 SiO2,,2Al+3 4Si+4 2H+ 12O-2
pyrrhotite,Po,FeS,cr,HDNB78 [S92],NA,5.May.78,cal,-24084,-24000,14.41,NA,18.2,5.19,26.4,0,0,0,0,0,411,,,-1.0000 pyrrhotite -1.0000 H+ 1.0000 Fe+2 1.0000 HS-,idealized,Fe+2 S-2
quartz,Qtz,SiO2,cr,HDNB78 [S92],NA,5.May.78,cal,-204646,-217650,9.88,NA,22.688,11.22,8.2,-2.7,0,0,0,0,848,,,-1.0000 quartz 1.0000 SiO2,polymorph,Si+4 2O-2
rhodochrosite,Rds,MnCO3,cr,HDNB78 [S92],NA,5.May.78,cal,-195045,-212521,23.9,NA,31.075,21.99,9.3,-4.69,0,0,0,0,700,,,-1.0000 rhodochrosite -1.0000 H+ 1.0000 HCO3- 1.0000 Mn+2,,Mn+2 C+4 3O-2
rutile,TiO2,TiO2,cr,7,9,31.MAR.92,cal,-212883,-226101,12.02,NA,18.82,15.01442,2.720501,-2.365364,0,0,0,0,1800,,,-1.0000 rutile 1.0000 Ti+4 -4.0000 H+ 2.0000 H2O,,Ti+4 2O-2
"sanidine,high",Hi-Sa,K(AlSi3)O8,cr,HDNB78 [S92],NA,5.May.78,cal,-893738,-946538,54.53,NA,109.008,63.83,12.9,-17.05,0,0,0,0,1400,,,"-1.0000 sanidine,high -4.0000 H+ 1.0000 Al+3 1.0000 K+ 2.0000 H2O 3.0000 SiO2",polymorph,K+ Al+3 3Si+4 8O-2
sepiolite,Sep,Mg4Si6O15(OH)2(H2O)2*4H2O,cr,HDNB78 [S92],NA,5.May.78,cal,-2211192,-2418000,146.6,NA,285.6,157.92,104.3,-18.68,0,0,0,0,800,,,-1.0000 sepiolite -8.0000 H+ 4.0000 Mg+2 6.0000 SiO2 11.0000 H2O,,6Si+4 14H+ 4Mg+2 23O-2
siderite,Sd,FeCO3,cr,HDNB78 [S92],Hel85 [S92],5.May.78,cal,-162414,-179173,25.1,NA,29.378,11.63,26.8,0,0,0,0,0,885,,,-1.0000 siderite -1.0000 H+ 1.0000 Fe+2 1.0000 HCO3-,,Fe+2 C+4 3O-2
sillimanite,Sil,Al2SiO5,cr,HDNB78 [S92],NA,5.May.78,cal,-580091,-615099,23.13,NA,49.9,40.023988,7.390511,-11.674053,0,0,0,0,1200,,,-1.0000 sillimanite -6.0000 H+ 1.0000 SiO2 2.0000 Al+3 3.0000 H2O,polymorph,2Al+3 Si+4 5O-2
smithsonite,Smt,ZnCO3,cr,HDNB78 [S92],NA,5.May.78,cal,-174850,-194260,19.7,NA,28.275,9.3,33,0,0,0,0,0,780,,,-1.0000 smithsonite -1.0000 H+ 1.0000 HCO3- 1.0000 Zn+2,,Zn+2 C+4 3O-2
sodium-oxide,Na-Ox,Na2O,cr,1,NA,5.May.78,cal,-89883,-99140,17.935,NA,25,18.25,4.89,-2.89,0,0,0,0,1000,,,-1.0000 sodium-oxide 2.0000 Na+ -2.0000 H+ 1.0000 H2O,,2Na+ O-2
sphalerite,Sp,ZnS,cr,HDNB78 [S92],NA,5.May.78,cal,-47947,-49000,14.019,NA,23.83,11.77,1.26,-1.16,0,0,0,0,1300,,,-1.0000 sphalerite -1.0000 H+ 1.0000 HS- 1.0000 Zn+2,idealized,Zn+2 S-2
spinel,Spn,MgAl2O4,cr,HDNB78 [S92],NA,5.May.78,cal,-517006,-546847,19.27,NA,39.71,36.772808,6.415456,-9.708792,0,0,0,0,2000,,,-1.0000 spinel -8.0000 H+ 1.0000 Mg+2 2.0000 Al+3 4.0000 H2O,,2Al+3 Mg+2 4O-2
strontianite,Str,SrCO3,cr,HDNB78 [S92],NA,5.May.78,cal,-275470,-294600,23.2,NA,39.01,23.52,6.32,-5.08,0,0,0,0,1197,,,-1.0000 strontianite -1.0000 H+ 1.0000 HCO3- 1.0000 Sr+2,,Sr+2 C+4 3O-2
sulfur,S,S,cr,G13A,NA,12.Jun.98,cal,0,0,7.6,NA,15.61,3.58,6.24,0,0,0,0,0,368.6,,,-1.0000 sulfur 1.0000 HS- 1.0000 H+ 0.5000 O2(g) -1.0000 H2O,,S
sylvite,Sy,KCl,cr,HDNB78 [S92],NA,5.May.78,cal,-97735,-104370,19.73,NA,37.524,9.89,5.2,0.77,0,0,0,0,1043,,,-1.0000 sylvite 1.0000 Cl- 1.0000 K+,,K+ Cl-
talc,Tcl,Mg3Si4O10(OH)2,cr,HDNB78 [S92],NA,5.May.78,cal,-1320188,-1410920,62.34,NA,136.25,82.482,41.614,-13.342,0,0,0,0,800,,,-1.0000 talc -6.0000 H+ 3.0000 Mg+2 4.0000 H2O 4.0000 SiO2,,4Si+4 2H+ 3Mg+2 12O-2
tenorite,Tn,CuO,cr,HDNB78 [S92],NA,5.May.78,cal,-30568,-37200,10.18,NA,12.22,11.53,1.88,-1.76,0,0,0,0,1600,,,-1.0000 tenorite -2.0000 H+ 1.0000 Cu+2 1.0000 H2O,,Cu+2 O-2
titanite,Ti-SPHENE,CaTiSiO5,cr,7,"9,19",31.MAR.92,cal,-587349,-621180,30.88,NA,55.65,42.23422,5.703951,-9.525038,0,0,0,0,1800,,,-1.0000 titanite 1.0000 Ca+2 1.0000 Ti+4 1.0000 SiO2 -6.0000 H+ 3.0000 H2O,,Ca+2 Ti+4 Si+4 5O-2
tremolite,Tr,(Ca2Mg5)Si8O22(OH)2,cr,HDNB78 [S92],SPRONS92.2,15.Mar.90,cal,-2770245,-2944038,131.19,NA,272.92,188.222,57.294,-44.822,0,0,0,0,800,,,-1.0000 tremolite -14.0000 H+ 2.0000 Ca+2 5.0000 Mg+2 8.0000 H2O 8.0000 SiO2,idealized,8Si+4 2Ca+2 2H+ 5Mg+2 24O-2
ulvospinel,Fe2TiO4,Fe2TiO4,cr,SG90,NA,NA,cal,-333444,-355522,44.29,NA,46.82,40.241,6.282,-7.658,0,0,0,0,1640,,,-1.0000 ulvospinel 2.0000 Fe+2 1.0000 Ti+4 -8.0000 H+ 4.0000 H2O,,2Fe+2 Ti+4 4O-2
wairakite,Wai,Ca(Al2Si4)O12*2H2O,cr,HDNB78 [S92],SPRONS92.2,15.Mar.90,cal,-1477432,-1579333,105.1,NA,186.87,100.4,44.47,-16.43,0,0,0,0,1000,,,-1.0000 wairakite -8.0000 H+ 1.0000 Ca+2 2.0000 Al+3 4.0000 SiO2 6.0000 H2O,,Ca+2 2Al+3 4Si+4 4H+ 14O-2
wollastonite,Wo,CaSiO3,cr,HDNB78 [S92],SPRONS92.2,15.Mar.90,cal,-369225,-389590,19.6,NA,39.93,26.64,3.6,-6.52,0,0,0,0,1400,,,-1.0000 wollastonite -2.0000 H+ 1.0000 Ca+2 1.0000 H2O 1.0000 SiO2,,Si+4 Ca+2 3O-2
wurtzite,Wur,ZnS,cr,HDNB78 [S92],NA,5.May.78,cal,-44810,-45850,14.064,NA,23.846,11.82,1.16,-1.04,0,0,0,0,1300,,,-1.0000 wurtzite -1.0000 H+ 1.0000 HS- 1.0000 Zn+2,idealized,Zn+2 S-2
zincite,Znc,ZnO,cr,G9A,NA,5.May.78,cal,-76596,-83762,10.43,NA,14.338,11.71,1.22,-2.18,0,0,0,0,2000,,,-1.0000 zincite 1.0000 Zn+2 -2.0000 H+ 1.0000 H2O,,Zn+2 O-2
zoisite,Zo,Ca2Al3Si3O12(OH),cr,HDNB78 [S92],SPRONS92.2,15.Mar.90,cal,-1549179,-1643691,70.74,NA,135.9,106.118,25.214,-27.145,0,0,0,0,700,,,-1.0000 zoisite -13.0000 H+ 2.0000 Ca+2 3.0000 Al+3 3.0000 SiO2 7.0000 H2O,,3Al+3 2Ca+2 H+ 13O-2 3Si+4
mg-beidellite,Mg-Bei,Mg0.165Al2.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1277068.1,-1366861,57.809,NA,128.725,81.94495,37.2604,-18.0179,0,0,0,0,800,,,-1.0000 mg-beidellite 2.3300 Al+3 0.1650 Mg+2 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.165Mg+2 2.33Al+3 3.67Si+4 12O-2 2H+
mg-montmorillonite,Mg-Mnt,Mg0.495Al1.67Si4O10(OH)2,cr,21,NA,1.Mar.18,cal,-1268462.4,-1357688,59.309,NA,132.029,79.93525,39.61,-16.6319,0,0,0,0,800,,,-1.0000 mg-montmorillonite 1.6700 Al+3 0.4950 Mg+2 4.0000 SiO2 -6.0000 H+ 4.0000 H2O,,0.495Mg+2 1.67Al+3 4Si+4 2H+ 12O-2
mg-nontronite,MG-Nnt,Mg0.165Fe2Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1075966,-1162870,67.01,NA,134.809,77.94495,53.0404,-13.1879,0,0,0,0,800,,,-1.0000 mg-nontronite 0.3300 Al+3 2.0000 Fe+3 0.1650 Mg+2 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.165Mg+2 2Fe+3 0.33Al+3 3.67Si+4 12O-2 2H+
mg-saponite,Mg-Sap,Mg3.165Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1341259.1,-1432864,61.629,NA,132.602,84.99295,39.6564,-14.0759,0,0,0,0,800,,,-1.0000 mg-saponite 0.3300 Al+3 3.1650 Mg+2 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,3.165Mg+2 0.33Al+3 3.67Si+4 12O-2 2H+
na-beidellite,Na-Bei,Na0.33Al2.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1279691.6,-1369756,59.656,NA,130.727,83.2765,37.78015,-18.25055,0,0,0,0,800,,,-1.0000 na-beidellite 2.3300 Al+3 0.3300 Na+ 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.33Na+ 2.33Al+3 3.67Si+4 12O-2 2H+
na-montmorillonite,Na-Mnt,Na0.33Mg0.33Al1.67Si4O10(OH)2,cr,21,NA,1.Mar.18,cal,-1271085.9,-1360582,61.157,NA,134.03,81.3097,40.75015,-16.5329,0,0,0,0,800,,,-1.0000 na-montmorillonite 1.6700 Al+3 0.3300 Mg+2 0.3300 Na+ 4.0000 SiO2 -6.0000 H+ 4.0000 H2O,,0.33Na+ 0.33Mg+2 1.67Al+3 4Si+4 2H+ 12O-2
na-nontronite,Na-Nnt,Na0.33Fe2Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1078589.5,-1165767,68.852,NA,136.81,79.2765,53.56015,-13.42055,0,0,0,0,800,,,-1.0000 na-nontronite 0.3300 Al+3 2.0000 Fe+3 0.3300 Na+ 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.33Na+ 2Fe+3 0.33Al+3 3.67Si+4 12O-2 2H+
na-saponite,Na-Sap,Na0.33Mg3Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1343882.6,-1435715,63.623,NA,135.32,86.3245,40.17615,-14.30855,0,0,0,0,800,,,-1.0000 na-saponite 0.3300 Al+3 3.0000 Mg+2 0.3300 Na+ 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.33Na+ 3Mg+2 0.33Al+3 3.67Si+4 12O-2 2H+
k-montmorillonite,K-Mnt,K0.33Mg0.33Al1.67Si4O10(OH)2,cr,21,NA,1.Mar.18,cal,-1273171.4,-1362699,62.108,NA,137.455,81.3097,40.75015,-16.5329,0,0,0,0,800,,,-1.0000 k-montmorillonite 1.6700 Al+3 0.3300 K+ 0.3300 Mg+2 4.0000 SiO2 -6.0000 H+ 4.0000 H2O,,0.33K+ 0.33Mg+2 1.67Al+3 4Si+4 2H+ 12O-2
k-nontronite,K-Nnt,K0.33Fe2Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1080675.1,-1167878,69.821,NA,140.235,79.3194,54.18055,-13.0889,0,0,0,0,800,,,-1.0000 k-nontronite 0.3300 Al+3 2.0000 Fe+3 0.3300 K+ 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.33K+ 2Fe+3 0.33Al+3 3.67Si+4 12O-2 2H+
k-saponite,K-Sap,K0.33Mg3Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1345968.2,-1437828,64.585,NA,138.745,86.3674,40.79655,-13.9769,0,0,0,0,800,,,-1.0000 k-saponite 0.3300 Al+3 0.3300 K+ 3.0000 Mg+2 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.33K+ 3Mg+2 0.33Al+3 3.67Si+4 12O-2 2H+
h-beidellite,H-Bei,H0.33Al2.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1260419.6,-1351223,58.286,NA,128.913,81.4384,38.3329,-17.7737,0,0,0,0,800,,,-1.0000 h-beidellite 2.3300 Al+3 3.6700 SiO2 -6.9900 H+ 4.6600 H2O,,2.33Al+3 3.67Si+4 12O-2 2.33H+
h-montmorillonite,H-Mnt,H0.33Mg0.33Al1.67Si4O10(OH)2,cr,21,NA,1.Mar.18,cal,-1251813.8,-1342049,59.786,NA,132.216,79.4287,40.6825,-16.3877,0,0,0,0,800,,,-1.0000 h-montmorillonite 1.6700 Al+3 0.3300 Mg+2 4.0000 SiO2 -5.6700 H+ 4.0000 H2O,,0.33Mg+2 1.67Al+3 4Si+4 2.33H+ 12O-2
h-nontronite,H-Nnt,H0.33Fe2Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1059317.5,-1147233,67.482,NA,134.996,77.4384,54.1129,-12.9437,0,0,0,0,800,,,-1.0000 h-nontronite 0.3300 Al+3 2.0000 Fe+3 3.6700 SiO2 -6.9900 H+ 4.6600 H2O,,2Fe+3 0.33Al+3 3.67Si+4 12O-2 2.33H+
h-saponite,H-Sap,H0.33Mg3Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1324610.6,-1417179,62.263,NA,133.506,84.4864,40.7289,-13.8317,0,0,0,0,800,,,-1.0000 h-saponite 0.3300 Al+3 3.0000 Mg+2 3.6700 SiO2 -6.9900 H+ 4.6600 H2O,,3Mg+2 0.33Al+3 3.67Si+4 12O-2 2.33H+
feca-saponite,FeCa-Sap,Ca0.165Fe3Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1094972.8,-1179088,83.235,NA,145.315,91.0688,40.5475,-11.8991,0,0,0,0,800,,,-1.0000 feca-saponite 0.3300 Al+3 0.1650 Ca+2 3.0000 Fe+2 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.165Ca+2 3Fe+2 0.33Al+3 3.67Si+4 12O-2 2H+
feh-saponite,FeH-Sap,H0.33Fe3Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1074479.8,-1159948,82.212,NA,144.461,89.14325,40.3693,-11.6417,0,0,0,0,800,,,-1.0000 feh-saponite 0.3300 Al+3 3.0000 Fe+2 3.6700 SiO2 -6.9900 H+ 4.6600 H2O,,3Fe+2 0.33Al+3 3.67Si+4 12O-2 2.33H+
fek-saponite,FeK-Sap,K0.33Fe3Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1095837.4,-1180304,85.52,NA,149.7,92.1974,41.79655,-11.7869,0,0,0,0,800,,,-1.0000 fek-saponite 0.3300 Al+3 3.0000 Fe+2 0.3300 K+ 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.33K+ 3Fe+2 0.33Al+3 3.67Si+4 12O-2 2H+
femg-saponite,FeMg-Sap,Mg0.165Fe3Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1091128.3,-1175361,82.489,NA,143.557,90.82295,40.6564,-11.8859,0,0,0,0,800,,,-1.0000 femg-saponite 0.3300 Al+3 3.0000 Fe+2 0.1650 Mg+2 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.165Mg+2 3Fe+2 0.33Al+3 3.67Si+4 12O-2 2H+
fena-saponite,FeNa-Sap,Na0.33Fe3Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1093751.8,-1178205,84.509,NA,146.275,92.1545,41.17615,-12.11855,0,0,0,0,800,,,-1.0000 fena-saponite 0.3300 Al+3 3.0000 Fe+2 0.3300 Na+ 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.33Na+ 3Fe+2 0.33Al+3 3.67Si+4 12O-2 2H+
ca-beidellite,Ca-Bei,Ca0.165Al2.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1280912.6,-1370650,58.345,NA,129.766,82.1908,37.1515,-18.0311,0,0,0,0,800,,,-1.0000 ca-beidellite 2.3300 Al+3 0.1650 Ca+2 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.165Ca+2 2.33Al+3 3.67Si+4 12O-2 2H+
ca-montmorillonite,Ca-Mnt,Ca0.165Mg0.33Al1.67Si4O10(OH)2,cr,21,NA,1.Mar.18,cal,-1272306.9,-1361477,59.845,NA,133.07,80.1811,39.5011,-16.6451,0,0,0,0,800,,,-1.0000 ca-montmorillonite 1.6700 Al+3 0.1650 Ca+2 0.3300 Mg+2 4.0000 SiO2 -6.0000 H+ 4.0000 H2O,,0.165Ca+2 0.33Mg+2 1.67Al+3 4Si+4 2H+ 12O-2
ca-nontronite,Ca-Nnt,Ca0.165Fe2Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1079810.5,-1166659,67.549,NA,135.85,78.1908,52.9315,-13.2011,0,0,0,0,800,,,-1.0000 ca-nontronite 0.3300 Al+3 0.1650 Ca+2 2.0000 Fe+3 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.165Ca+2 2Fe+3 0.33Al+3 3.67Si+4 12O-2 2H+
ca-saponite,Ca-Sap,Ca0.165Mg3Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1345103.6,-1436605,62.328,NA,134.359,85.2388,39.5475,-14.0891,0,0,0,0,800,,,-1.0000 ca-saponite 0.3300 Al+3 0.1650 Ca+2 3.0000 Mg+2 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.165Ca+2 3Mg+2 0.33Al+3 3.67Si+4 12O-2 2H+
k-beidellite,K-Bei,K0.33Al2.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1281777.2,-1371872,60.608,NA,134.152,83.3194,38.40055,-17.9189,0,0,0,0,800,,,-1.0000 k-beidellite 2.3300 Al+3 0.3300 K+ 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.33K+ 2.33Al+3 3.67Si+4 12O-2 2H+
flourapatite,Flo-Ap,Ca5(PO4)3F,cr,ZS91,NA,1.Jun.19,cal,-1539926,-1630843,92.7,NA,157.532,159.835,0.0014277,-0.0017294,0,0,0,0,1582,,,-1.0000 flourapatite 5.0000 Ca+2 1.0000 F- 3.0000 HPO4-2 -3.0000 H+,,5Ca+2 3P+5 12O-2 F-
hydroxyapatite,Hy-Ap,Ca5(PO4)3OH,cr,ZS91,NA,1.Jun.19,cal,-1505187,-1600069,95.3,NA,158.223,181.353,0.0021865,-0.0023776,0,0,0,0,1471,,,-1.0000 hydroxyapatite 5.0000 Ca+2 3.0000 HPO4-2 -4.0000 H+ 1.0000 H2O,,5Ca+2 3P+5 13O-2 H+
chlorapatite,Chl-Ap,Ca5(PO4)3Cl,cr,ZS91,NA,1.Jun.19,cal,-1486000,-1576783,95.58,NA,164.025,158.665,0.0018607,-0.0015732,0,0,0,0,1045,,,-1.0000 chlorapatite 5.0000 Ca+2 1.0000 Cl- 3.0000 HPO4-2 -3.0000 H+,,5Ca+2 3P+5 12O-2 Cl-
chlorannite,Cl-An,KFe3(AlSi3O10)Cl2,cr,ZS91,NA,1.Jun.19,cal,-1092500,-1166152,107.44,NA,172.47,165.014,0.0029587,-0.0012683,0,0,0,0,666,,,-1.0000 chlorannite 1.0000 Al+3 2.0000 Cl- 3.0000 Fe+2 1.0000 K+ 3.0000 SiO2 -8.0000 H+ 4.0000 H2O,,K+ 3Fe+2 Al+3 3Si+4 10O-2 2Cl-
CH4(g),CH4,CH4,gas,WEP+82 [S92],Kel60 [S92],15.Dec.87,cal,-12122.4,-17880,44.518,NA,0,5.65,11.44,-0.46,0,0,0,0,1500,,,-1.0000 CH4(g) -2.0000 O2(g) 1.0000 H+ 1.0000 H2O 1.0000 HCO3-,,C-4 4H+
CO(g),CO,CO,gas,Sho93.1 [S98],NA,18.Mar.93,cal,-32784,-26416,47.245,6.965,0,6.79,0.98,-0.11,0,0,0,0,5000,,,-1.0000 CO(g) -1.0000 H2O -0.5000 O2(g) 1.0000 HCO3- 1.0000 H+,,C+2 O-2
CO2(g),CO2,CO2,gas,WEP+82 [S92],Kel60 [S92],27.Dec.89,cal,-94254,-94051,51.085,NA,0,10.57,2.1,-2.06,0,0,0,0,2500,,,-1.0000 CO2(g) -1.0000 H2O 1.0000 H+ 1.0000 HCO3-,,C+4 2O-2
H2(g),H2,H2,gas,WEP+82 [S92],Kel60 [S92],27.Dec.89,cal,0,0,31.234,NA,0,6.52,0.78,0.12,0,0,0,0,3000,,,-1.0000 H2(g) -0.5000 O2(g) 1.0000 H2O,refstate,2H
H2O(g),steam,H2O,gas,SLOP16,NA,24.Mar.90,,-54524.8,-57935.1,44.763,NA,0,12.6647,-10.4041,0.013078,0,0,0,0,2523.15,,,-1.0000 H2O(g) 1.0000 H2O,,O-2 2H+
H2S(g),H2S,H2S,gas,WEP+82 [S92],Kel60 [S92],27.Dec.89,cal,-8021,-4931,49.185,NA,0,7.81,2.96,-0.46,0,0,0,0,2300,,,-1.0000 H2S(g) 1.0000 H+ 1.0000 HS-,,S-2 2H+
N2(g),N2,N2,gas,WEP+82 [S92],Kel60 [S92],27.Dec.89,cal,0,0,45.796,NA,0,6.83,0.9,-0.12,0,0,0,0,3000,,,-1.0000 N2(g) -2.5000 O2(g) -1.0000 H2O 2.0000 H+ 2.0000 NO3-,refstate,2N
NH3(g),NH3,NH3,gas,WEP+82 [S92],Kel60 [S92],26.Jul.89,cal,-3932,-11021,46,NA,0,7.11,6,-0.37,0,0,0,0,1800,,,-1.0000 NH3(g) -2.0000 O2(g) 1.0000 H+ 1.0000 H2O 1.0000 NO3-,,N-3 3H+
O2(g),O2,O2,gas,WEP+82 [S92],Kel60 [S92],27.Dec.89,cal,0,0,49.029,NA,0,7.16,1,-0.4,0,0,0,0,3000,,,-1.0000 O2(g) 1.0000 O2(g),refstate,2O
S2(g),S2,S2,gas,WEP+82 [S92],Kel60 [S92],27.Dec.89,cal,18953,30681,54.54,NA,0,8.72,0.16,-0.9,0,0,0,0,3000,,,-1.0000 S2(g) -2.0000 H2O 0.5000 SO4-2 1.5000 HS- 2.5000 H+,,2S
SO2(g),SO2,SO2,gas,WEP+82 [S92],Kel60 [S92],27.Dec.89,cal,-71748,-70944,59.33,NA,0,11.04,1.88,-1.84,0,0,0,0,2000,,,-1.0000 SO2(g) -1.0000 H2O -0.5000 O2(g) 1.0000 SO4-2 2.0000 H+,,S+4 2O-2
ETHYLENE(g),C2H4,C2H4,gas,G2,NA,22.SEP.93,cal,16280,12500,52.45,NA,0,8.35,0.15,-2.29,0,0,0,0,1000,,,-1.0000 ETHYLENE(g) 2.0000 METHANE 1.0000 O2(g) -2.0000 H2O,,2C-2 4H+
NO(g),Nitric,NO,gas,6,G17,11.Nov.00,cal,20690,21570,50.373,NA,0,6.2954,1.8362,0.248781,0,0,0,0,1000,,,-1.0000 NO(g) 1.0000 NO2- 1.0000 H+ -0.2500 O2(g) -0.5000 H2O,,N+2 O-2
N2O(g),Nitrous,N2O,gas,6,G17,11.Nov.00,cal,24904,19610,52.545,NA,0,9.8339,3.5123,-1.4916,0,0,0,0,1000,,,-1.0000 N2O(g) 2.0000 NO2- 2.0000 H+ -1.0000 O2(g) -1.0000 H2O,,2N+ O-2